PARTICULARS,,,G,
BASIC EPS,,,? 17.0,
DIVIDEND/SHARE (%),,,0.61%,
NET PROFIT MARGIN (%),,,6.46%,
RETURN ON ASSETS ,,,12.40%,
DEBT/EQUITY,,,0.03,
CURRENT RATIO,,,1.91,
EARNING RETENTION RATIO (%) ,,,60.7,
MARKET CAPITALIZATION / NET OPERATION REVENUE ,,,43.30%,
EARNING YIELD ,,,1.96%,
