PARTICULARS,,E,
BASIC EPS,,? 38.8,
DIVIDEND/SHARE (%),,2.75%,
NET PROFIT MARGIN (%),,20.36%,
RETURN ON ASSETS ,,37.20%,
DEBT/EQUITY,,0.05,
CURRENT RATIO,,1.31,
EARNING RETENTION RATIO (%) ,,0,
MARKET CAPITALIZATION / NET OPERATION REVENUE ,,25.30%,
EARNING YIELD ,,3.59%,
