PARTICULARS,,J,
BASIC EPS,,? 20.3,
DIVIDEND/SHARE (%),,0.53%,
NET PROFIT MARGIN (%),,13.31%,
RETURN ON ASSETS ,,8.84%,
DEBT/EQUITY,,0.15,
CURRENT RATIO,,1.59,
EARNING RETENTION RATIO (%) ,,94.3,
MARKET CAPITALIZATION / NET OPERATION REVENUE ,,14.20%,
EARNING YIELD ,,5.72%,
