PARTICULARS,,F,
BASIC EPS,,? 182,
DIVIDEND/SHARE (%),,1.62%,
NET PROFIT MARGIN (%),,21.22%,
RETURN ON ASSETS ,,2.00%,
DEBT/EQUITY,,4.49,
CURRENT RATIO,,15.8,
EARNING RETENTION RATIO (%) ,,80.1,
MARKET CAPITALIZATION / NET OPERATION REVENUE ,,3.44%,
EARNING YIELD ,,12.20%,
