PARTICULARS,,A,
BASIC EPS,,? 29.0,
DIVIDEND/SHARE (%),,0.73%,
NET PROFIT MARGIN (%),,12.94%,
RETURN ON ASSETS ,,15.20%,
DEBT/EQUITY,,0.04,
CURRENT RATIO,,0.81,
EARNING RETENTION RATIO (%) ,,93.11,
MARKET CAPITALIZATION / NET OPERATION REVENUE ,,4.44%,
EARNING YIELD ,,22.20%,
