PARTICULARS,,C,
BASIC EPS,,? 9.68,
DIVIDEND/SHARE (%),,1.89%,
NET PROFIT MARGIN (%),,13.15%,
RETURN ON ASSETS ,,22.60%,
DEBT/EQUITY,,0.14,
CURRENT RATIO,,1.72,
EARNING RETENTION RATIO (%) ,,2.6,
MARKET CAPITALIZATION / NET OPERATION REVENUE ,,37.60%,
EARNING YIELD ,,2.71%,
