PARTICULARS,,B ,
BASIC EPS,,? 24.1,
DIVIDEND/SHARE (%),,0.33%,
NET PROFIT MARGIN (%),,14.49%,
RETURN ON ASSETS ,,20.40%,
DEBT/EQUITY,,0.31,
CURRENT RATIO,,2.89,
EARNING RETENTION RATIO (%) ,,99.39,
MARKET CAPITALIZATION / NET OPERATION REVENUE ,,16.80%,
EARNING YIELD ,,5.56%,
