PARTICULARS,,I,
BASIC EPS,,? 39.5,
DIVIDEND/SHARE (%),,9.93%,
NET PROFIT MARGIN (%),,26.76%,
RETURN ON ASSETS ,,2.47%,
DEBT/EQUITY,,6.5,
CURRENT RATIO,,1.34,
EARNING RETENTION RATIO (%) ,,69.9,
MARKET CAPITALIZATION / NET OPERATION REVENUE ,,0.88,
EARNING YIELD ,,9.14%,
